protein_ID,daytemp,Entry
CHOYP_TSN3.1.1.m.57074,day5_29C,Q6NWG0
CHOYP_TVAG_355490.12.22.m.45126,day5_29C,O74424
CHOYP_ALG1.1.1.m.40067,day7_23C,Q921Q3
CHOYP_BCL3.2.2.m.57485,day7_23C,Q9WTK5
CHOYP_BRAFLDRAFT_82426.1.20.m.8067,day7_23C,Q9ESN6
CHOYP_contig_002305.m.2519,day7_23C,Q3K051
CHOYP_contig_002762.m.3056,day7_23C,Q9D5U0
CHOYP_contig_004461.m.5117,day7_23C,Q9R1L5
CHOYP_GIGA5.4.4.m.39598,day7_23C,Q966L9
CHOYP_KC1G3.1.2.m.18974,day7_23C,Q62762
CHOYP_LOC100121360.1.1.m.56328,day7_23C,Q99315
CHOYP_LOC100122208.1.1.m.58545,day7_23C,Q8CC21
CHOYP_LOC100145215.1.1.m.6904,day7_23C,P28285
CHOYP_LOC100213744.9.19.m.37687,day7_23C,Q9ESN6
CHOYP_LOC100373083.2.2.m.26841,day7_23C,Q99758
CHOYP_LOC100898095.9.19.m.32685,day7_23C,Q3SG11
CHOYP_LOC578656.9.15.m.53454,day7_23C,Q9JI18
CHOYP_LOC656615.1.1.m.66274,day7_23C,Q6GPD0
CHOYP_LR16A.3.3.m.59539,day7_23C,Q54P76
CHOYP_NAEGRDRAFT_71860.1.1.m.2556,day7_23C,Q1D6Y8
CHOYP_NBEL1.1.1.m.33217,day7_23C,Q6ZS30
CHOYP_SC5A9.3.5.m.27017,day7_23C,A8WHP3
CHOYP_TCF25.1.1.m.28509,day7_23C,Q8R3L2
CHOYP_TPC2.1.2.m.19378,day7_23C,A0JMD4
CHOYP_BRAFLDRAFT_114866.4.5.m.35626,day7_29C,Q3SZQ6
CHOYP_BRAFLDRAFT_118545.2.2.m.54585,day7_29C,A0JPH4
CHOYP_BRAFLDRAFT_125516.1.1.m.13150,day7_29C,Q5R5T0
CHOYP_BRAFLDRAFT_130395.1.1.m.38394,day7_29C,Q6IR74
CHOYP_BRAFLDRAFT_235412.2.2.m.58139,day7_29C,P22105
CHOYP_BRAFLDRAFT_76943.1.1.m.58001,day7_29C,P42683
CHOYP_BRAFLDRAFT_85664.3.10.m.26597,day7_29C,B3EWZ3
CHOYP_BRAFLDRAFT_95073.3.9.m.27326,day7_29C,P45182
CHOYP_contig_004011.m.4571,day7_29C,P15693
CHOYP_contig_039465.m.44679,day7_29C,Q5TUF1
CHOYP_contig_039638.m.44850,day7_29C,Q39YM4
CHOYP_FLOT1.1.2.m.21435,day7_29C,O61491
CHOYP_FYNA.1.1.m.63901,day7_29C,P00523
CHOYP_LOC100176721.6.6.m.66056,day7_29C,P22105
CHOYP_LOC100378658.1.1.m.38454,day7_29C,Q5EAD5
CHOYP_LOC100903758.1.1.m.43697,day7_29C,Q47944
CHOYP_LOC101156767.1.1.m.65605,day7_29C,Q9QYP0
CHOYP_LOC580197.1.1.m.4591,day7_29C,P48747
CHOYP_LOC581128.1.1.m.46711,day7_29C,P83436
CHOYP_M2OM.1.1.m.11786,day7_29C,P22292
CHOYP_MEG11.8.25.m.39826,day7_29C,A0JM12
CHOYP_NAEGRDRAFT_49892.1.1.m.10608,day7_29C,Q9CG49
CHOYP_PMAR_PMAR009545.1.1.m.28734,day7_29C,Q5FWS6
CHOYP_SMP_147320.1.1.m.27463,day7_29C,Q96M20
CHOYP_TBB2.2.2.m.53003,day7_29C,P41386
CHOYP_TRI45.18.23.m.48495,day7_29C,Q5BIM1
CHOYP_VMP1.1.1.m.34831,day7_29C,Q6INE8
CHOYP_WDR31.2.2.m.65613,day7_29C,Q9JHB4
CHOYP_Y077.1.1.m.27629,day7_29C,Q6R7F2
CHOYP_ANK3.7.9.m.43272,day9_23C,Q01484
CHOYP_ANM3.1.1.m.376,day9_23C,O60678
CHOYP_BRAFLDRAFT_117231.1.1.m.4966,day9_23C,P36956
CHOYP_BRAFLDRAFT_124130.2.3.m.30247,day9_23C,Q4R8M9
CHOYP_BRAFLDRAFT_131216.1.1.m.8822,day9_23C,Q6P9I7
CHOYP_BRAFLDRAFT_206799.1.23.m.3242,day9_23C,Q9U489
CHOYP_BRAFLDRAFT_247063.1.1.m.17671,day9_23C,Q80UM7
CHOYP_BRAFLDRAFT_60200.1.3.m.22201,day9_23C,Q3SX11
CHOYP_CAN8.1.2.m.21091,day9_23C,O35920
CHOYP_contig_001413.m.1466,day9_23C,A5DS78
CHOYP_contig_002597.m.2856,day9_23C,Q9AWK2
CHOYP_contig_002691.m.2966,day9_23C,Q7T0U6
CHOYP_contig_020370.m.23576,day9_23C,Q0G9Q1
CHOYP_contig_020442.m.23651,day9_23C,P53695
CHOYP_contig_024605.m.27976,day9_23C,Q8V3T6
CHOYP_contig_038765.m.43871,day9_23C,Q5VXM1
CHOYP_contig_042815.m.49366,day9_23C,Q7MUD3
CHOYP_contig_044225.m.51129,day9_23C,O84007
CHOYP_contig_051433.m.61487,day9_23C,P45461
CHOYP_COPA.1.1.m.31889,day9_23C,Q9JLR1
CHOYP_CTBS.1.1.m.54468,day9_23C,Q8R242
CHOYP_DANA_GF15955.1.1.m.44178,day9_23C,Q03629
CHOYP_DGRI_GH24618.1.2.m.1995,day9_23C,Q7KVW5
CHOYP_HERC1.2.2.m.51367,day9_23C,Q15751
CHOYP_INT2.1.1.m.52909,day9_23C,Q9H0H0
CHOYP_INT6.1.1.m.13005,day9_23C,Q6PCM2
CHOYP_LOAG_00377.2.4.m.54574,day9_23C,Q20930
CHOYP_LOC100120677.1.1.m.16799,day9_23C,A0JMK9
CHOYP_LOC100179134.1.1.m.23870,day9_23C,Q6NXK5
CHOYP_LOC100200137.1.1.m.23041,day9_23C,P19208
CHOYP_LOC100200424.1.1.m.16669,day9_23C,Q1RMG8
CHOYP_LOC100373178.1.1.m.61012,day9_23C,A7E3W5
CHOYP_LOC101064384.1.1.m.19175,day9_23C,Q8NFH5
CHOYP_LOC101242248.1.2.m.24785,day9_23C,P0C6F1
CHOYP_LOC584481.10.10.m.66365,day9_23C,O16025
CHOYP_LOC584481.8.10.m.61433,day9_23C,O16025
CHOYP_NAF1.1.1.m.13716,day9_23C,Q52KK4
CHOYP_NEMVEDRAFT_V1G201552.4.6.m.22239,day9_23C,P13670
CHOYP_NEMVEDRAFT_V1G240887.2.2.m.37649,day9_23C,Q9CPU4
CHOYP_OXSM.1.1.m.30217,day9_23C,Q9NWU1
CHOYP_PCDH7.1.3.m.6236,day9_23C,Q6KEQ9
CHOYP_RS2.7.10.m.39920,day9_23C,Q90YS3
CHOYP_SC6A9.6.6.m.57818,day9_23C,A7Y2W8
CHOYP_SDA1.1.1.m.12704,day9_23C,Q9NVU7
CHOYP_SPAG7.1.1.m.66661,day9_23C,Q7SYJ9
CHOYP_STX.1.1.m.30392,day9_23C,Q16932
CHOYP_TCPD.1.1.m.13556,day9_23C,Q2T9X2
CHOYP_TVAG_355490.16.22.m.50235,day9_23C,Q8TXI4
CHOYP_YL58.1.1.m.35411,day9_23C,A5D7H5
CHOYP_ABCB6.3.3.m.53101,day9_29C,Q08D64
CHOYP_BRAFLDRAFT_119367.1.1.m.59963,day9_29C,Q3UWM4
CHOYP_BRAFLDRAFT_125037.2.3.m.13981,day9_29C,A9CPT4
CHOYP_BRAFLDRAFT_264304.1.1.m.35625,day9_29C,Q6DF57
CHOYP_BRAFLDRAFT_290492.1.1.m.21887,day9_29C,Q9BPW9
CHOYP_CBG20816.1.1.m.49333,day9_29C,P55115
CHOYP_contig_019914.m.23170,day9_29C,Q13158
CHOYP_contig_021494.m.24691,day9_29C,Q10084
CHOYP_contig_026852.m.30581,day9_29C,Q5ZMN2
CHOYP_contig_031279.m.35700,day9_29C,P0C0E2
CHOYP_contig_033663.m.38288,day9_29C,A8GH44
CHOYP_contig_041765.m.47848,day9_29C,O14727
CHOYP_contig_042540.m.49007,day9_29C,P18519
CHOYP_DC1I2.2.3.m.54049,day9_29C,Q0III3
CHOYP_ELP2.1.1.m.18394,day9_29C,Q05AM5
CHOYP_FRIS.10.11.m.66055,day9_29C,P42577
CHOYP_FUT2.4.5.m.54048,day9_29C,Q28113
CHOYP_GSTS8.1.1.m.12434,day9_29C,O73888
CHOYP_HSPA12B.1.1.m.36165,day9_29C,Q96MM6
CHOYP_LOC100160385.1.2.m.40193,day9_29C,P22105
CHOYP_LOC100378615.1.2.m.25321,day9_29C,Q9NRA2
CHOYP_LOC100485356.1.1.m.21339,day9_29C,Q56R14
CHOYP_LOC100865129.1.1.m.45329,day9_29C,O15164
CHOYP_MDR1A.1.1.m.47026,day9_29C,P06795
CHOYP_PHUM_PHUM174820.1.1.m.57391,day9_29C,Q5SWW4
CHOYP_PP1A.1.1.m.25950,day9_29C,P62138
CHOYP_PTPRB.4.4.m.66782,day9_29C,P35992
CHOYP_RN213.6.13.m.42268,day9_29C,A0A0R4IBK5
CHOYP_SMC2.1.4.m.17837,day9_29C,Q6Q0C0
CHOYP_SOS1.1.1.m.52801,day9_29C,Q07890
CHOYP_TBB2.2.2.m.53000,day9_29C,P41387
CHOYP_TDRD1.1.1.m.34821,day9_29C,Q9BXT4
CHOYP_TVAG_020440.14.21.m.33137,day9_29C,P16157
CHOYP_UHRF1.1.1.m.10935,day9_29C,B6CHA3
