"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
777 0.263648036410245 2 5 "GO:0007472" "wing disc morphogenesis" 0.841296277524509
230 0.554546611820272 3 16 "GO:0007492" "endoderm development" 0.924779974044779
-107 0.865701018062642 2 6 "GO:0007494" "midgut development" 0.985500292252112
-263 0.541888876344509 4 13 "GO:0007498" "mesoderm development" 0.919217706384847
176 0.38179183242436 3 60 "GO:0007507" "heart development" 0.87237376016788
-383 0.515242063851185 2 7 "GO:0007512;GO:0043056;GO:0033058;GO:0060419" "adult heart development" 0.906803544999412
-75 0.820310985820546 2 22 "GO:0007517" "muscle organ development" 0.981650410985964
104 0.809125905910352 2 13 "GO:0007519" "skeletal muscle tissue development" 0.980760335505261
-154 0.779560413851075 2 8 "GO:0007520" "myoblast fusion" 0.975778147430469
-121 0.826209568773829 2 8 "GO:0007525" "somatic muscle development" 0.981650410985964
-598 0.0656841220910779 2 23 "GO:0007528" "neuromuscular junction development" 0.646352523373236
-987 0.120021532303956 3 6 "GO:0007548" "sex differentiation" 0.747360968599165
-341 0.510467792495307 4 9 "GO:0007549;GO:0009048" "dosage compensation" 0.903809120253266
236 0.584453811176576 5 13 "GO:0007560" "imaginal disc morphogenesis" 0.934153937654182
243 0.559716091648063 2 14 "GO:0007565" "female pregnancy" 0.924779974044779
-498 0.432667759819627 2 6 "GO:0007566" "embryo implantation" 0.886542122211041
-13 0.941597700806686 2 77 "GO:0007568" "aging" 0.994358887847017
-153 0.661413899385934 2 20 "GO:0007569" "cell aging" 0.960716752709661
78 0.680193193712817 2 68 "GO:0007584" "response to nutrient" 0.963610436687005
70 0.86081129214177 2 15 "GO:0007586" "digestion" 0.985101548950536
-190 0.784927427510481 3 5 "GO:0007588" "excretion" 0.975778147430469
-1063 0.0403652432949067 2 9 "GO:0007595;GO:0007589" "body fluid secretion" 0.58108434886071
-313 0.325511105431196 4 24 "GO:0007599;GO:0007596;GO:0050817" "hemostasis" 0.866978632040366
98 0.558963879446469 4 87 "GO:0007600" "sensory perception" 0.924779974044779
192 0.44324309392497 2 39 "GO:0007601;GO:0050953" "sensory perception of light stimulus" 0.889991966314376
145 0.571867338789916 2 37 "GO:0007605;GO:0050954" "sensory perception of mechanical stimulus" 0.931663212154572
47 0.919720550086321 6 11 "GO:0007608;GO:0007606" "sensory perception of chemical stimulus" 0.99328594169326
-32 0.79300163534612 1 171 "GO:0007610" "behavior" 0.976544614662156
65 0.728087506956386 3 70 "GO:0007611;GO:0050890" "cognition" 0.972191552623681
206 0.454762562649667 5 32 "GO:0007612" "learning" 0.889991966314376
50 0.850109106188816 5 35 "GO:0007613" "memory" 0.983522775732596
-141 0.743701732328309 6 13 "GO:0007616" "long-term memory" 0.972191552623681
460 0.210428185713024 2 18 "GO:0007617;GO:0019098" "reproductive behavior" 0.810073182709088
-83 0.704870520124856 2 51 "GO:0007623" "circadian rhythm" 0.970140393685084
-212 0.292638484359686 2 60 "GO:0007626" "locomotory behavior" 0.854868895648402
-445 0.302005443196783 2 13 "GO:0007631" "feeding behavior" 0.859762413724234
355 0.429868086460442 4 12 "GO:0007632" "visual behavior" 0.886542122211041
161 0.784456104163275 2 7 "GO:0007638" "mechanosensory behavior" 0.975778147430469
-752 0.0532949205536691 2 16 "GO:0008015" "blood circulation" 0.626700781048411
39 0.884049263195327 2 34 "GO:0008016;GO:1903522" "regulation of blood circulation" 0.987463083308389
304 0.156878597706562 3 53 "GO:0008033" "tRNA processing" 0.767967156602988
-196 0.361831810588102 2 53 "GO:0008037" "cell recognition" 0.87237376016788
-271 0.340628489185188 2 30 "GO:0008038" "neuron recognition" 0.871018469660137
-394 0.296533031955777 5 17 "GO:0008045" "motor neuron axon guidance" 0.857951175864876
511 0.384993913746042 2 7 "GO:0008049" "male courtship behavior" 0.87237376016788
-258 0.619101762122539 2 9 "GO:0008053" "mitochondrial fusion" 0.943113706176472
-45 0.78040496918387 3 96 "GO:0008064;GO:0030832;GO:0030833;GO:0032271" "regulation of protein polymerization" 0.975778147430469
-158 0.803957274859437 5 6 "GO:0008078;GO:0042074" "mesodermal cell migration" 0.979443417181474
232 0.455652834729832 5 25 "GO:0008088" "axo-dendritic transport" 0.889991966314376
512 0.162549629833927 2 18 "GO:0008089;GO:0098930" "axonal transport" 0.772769614232157
187 0.768990235270004 3 6 "GO:0008090" "retrograde axonal transport" 0.975778147430469
-583 0.0405282016409361 3 30 "GO:0008154" "actin polymerization or depolymerization" 0.58108434886071
-156 0.790634827156861 5 7 "GO:0008156" "negative regulation of DNA replication" 0.976079281128521
-39 0.82453309199615 2 81 "GO:0008202" "steroid metabolic process" 0.981650410985964
-71 0.727346731359653 3 59 "GO:0008203;GO:0016125;GO:1902652" "sterol metabolic process" 0.972191552623681
276 0.616094967853859 5 8 "GO:0008209" "androgen metabolic process" 0.943113706176472
108 0.83473127783047 3 9 "GO:0008210" "estrogen metabolic process" 0.982676277590505
104 0.713707922786137 3 30 "GO:0008217" "regulation of blood pressure" 0.971492309298927
-4 0.995176554076671 2 5 "GO:0008258" "head involution" 0.998953064213476
42 0.906537253389807 2 19 "GO:0008277" "regulation of G protein-coupled receptor signaling pathway" 0.991924997586119
106 0.380541617998922 1 172 "GO:0008283" "cell population proliferation" 0.87237376016788
-57 0.665269823683424 3 141 "GO:0008284" "positive regulation of cell population proliferation" 0.960716752709661
-8 0.95339891508985 2 137 "GO:0008285" "negative regulation of cell population proliferation" 0.995848162381776
-253 0.389649237337136 2 28 "GO:0008286" "insulin receptor signaling pathway" 0.87237376016788
-968 0.0490696002655785 4 10 "GO:0008298" "intracellular mRNA localization" 0.623256106424301
402 0.391944581030699 4 11 "GO:0008299" "isoprenoid biosynthetic process" 0.87237376016788
-274 0.641737903680088 2 7 "GO:0008300" "isoprenoid catabolic process" 0.954615188737427
-134 0.747925541462803 6 14 "GO:0008306" "associative learning" 0.972191552623681
255 0.412770900717968 2 25 "GO:0008333" "endosome to lysosome transport" 0.88356322493948
-47 0.932421592163723 3 8 "GO:0008334;GO:0071044" "histone mRNA metabolic process" 0.994151563136106
-574 0.128282269331388 2 17 "GO:0008340" "determination of adult lifespan" 0.749224547190351
-82 0.785828696548773 2 27 "GO:0008344" "adult locomotory behavior" 0.975778147430469
-268 0.534458188376888 2 13 "GO:0008347" "glial cell migration" 0.914092786140353
-439 0.528029225418889 2 5 "GO:0008355" "olfactory learning" 0.911895228828599
29 0.950759444967155 3 11 "GO:0008356" "asymmetric cell division" 0.995848162381776
-92 0.687592904240997 2 47 "GO:0008360" "regulation of cell shape" 0.967133082814301
316 0.259423709898629 2 31 "GO:0008361" "regulation of cell size" 0.83850641419375
47 0.876713141072177 3 26 "GO:0008366;GO:0007272" "axon ensheathment" 0.986149439713683
-137 0.844352443875809 2 5 "GO:0008407" "chaeta morphogenesis" 0.982676277590505
331 0.547468999155653 2 8 "GO:0008542" "visual learning" 0.922233617349568
-473 0.224417640813256 3 16 "GO:0008543" "fibroblast growth factor receptor signaling pathway" 0.811934167082376
811 0.0837240340050094 4 11 "GO:0008544" "epidermis development" 0.698688465605048
-849 0.10165086143639 2 9 "GO:0008582" "regulation of synaptic growth at neuromuscular junction" 0.723897746123166
-72 0.836643478492185 2 20 "GO:0008584;GO:0008406" "gonad development" 0.982676277590505
112 0.73080964968023 5 23 "GO:0008589" "regulation of smoothened signaling pathway" 0.972191552623681
429 0.078435256198965 2 41 "GO:0008593" "regulation of Notch signaling pathway" 0.687320608279696
21 0.887617965779087 2 116 "GO:0008610" "lipid biosynthetic process" 0.987914984373673
506 0.425611207978479 2 6 "GO:0008625" "extrinsic apoptotic signaling pathway via death domain receptors" 0.886542122211041
-315 0.432525180159044 4 15 "GO:0008630" "intrinsic apoptotic signaling pathway in response to DNA damage" 0.886542122211041
231 0.740169026282734 2 5 "GO:0008631" "intrinsic apoptotic signaling pathway in response to oxidative stress" 0.972191552623681
-813 0.0507627515276339 5 14 "GO:0008637" "apoptotic mitochondrial changes" 0.62523805915834
-198 0.775869205194964 5 5 "GO:0008643" "carbohydrate transport" 0.975778147430469
-116 0.665233523960754 2 34 "GO:0008654" "phospholipid biosynthetic process" 0.960716752709661
-316 0.431063407398471 4 15 "GO:0009060;GO:0045333" "cellular respiration" 0.886542122211041
-641 0.00136088396805842 2 61 "GO:0009062;GO:0072329" "monocarboxylic acid catabolic process" 0.137194115029889
-140 0.548022890408903 7 45 "GO:0009064" "glutamine family amino acid metabolic process" 0.922233617349568
-1166 0.0177981497279473 2 10 "GO:0009065" "glutamine family amino acid catabolic process" 0.422843615331834
-558 0.0256121432591354 4 39 "GO:0009066" "aspartate family amino acid metabolic process" 0.474819110656427
-323 0.365490053402742 2 19 "GO:0009067" "aspartate family amino acid biosynthetic process" 0.87237376016788
-990 0.00444836694945776 2 20 "GO:0009068" "aspartate family amino acid catabolic process" 0.234394006546722
-600 0.0293350446544567 4 32 "GO:0009069" "serine family amino acid metabolic process" 0.500713513519986
-517 0.198519038735428 5 15 "GO:0009070" "serine family amino acid biosynthetic process" 0.804445396885055
-455 0.355556555734417 7 10 "GO:0009071" "serine family amino acid catabolic process" 0.87237376016788
-358 0.260829525903792 4 24 "GO:0009074;GO:0009072" "aromatic amino acid family metabolic process" 0.838891530614085
-401 0.288152346321778 3 17 "GO:0009083;GO:0009081" "branched-chain amino acid metabolic process" 0.853212464306711
-390 0.385253723493182 2 12 "GO:0009084" "glutamine family amino acid biosynthetic process" 0.87237376016788
-200 0.60806886825697 2 16 "GO:0009086;GO:0006555" "methionine metabolic process" 0.940829817264741
-375 0.258206981228409 3 22 "GO:0009100" "glycoprotein metabolic process" 0.837672144855893
136 0.466301437882158 3 70 "GO:0009108" "coenzyme biosynthetic process" 0.889991966314376
258 0.710801229839993 3 5 "GO:0009109" "coenzyme catabolic process" 0.970997002590188
-59 0.826300414785937 5 34 "GO:0009112" "nucleobase metabolic process" 0.981650410985964
-895 0.198267309704376 3 5 "GO:0009113" "purine nucleobase biosynthetic process" 0.804445396885055
-1005 0.148342878289141 2 5 "GO:0009115;GO:0046110" "xanthine catabolic process" 0.75769980543992
-83 0.650419570597244 5 73 "GO:0009116;GO:1901657" "glycosyl compound metabolic process" 0.95750498868605
-239 0.0165947028338696 4 254 "GO:0009117;GO:0006753;GO:0055086" "nucleobase-containing small molecule metabolic process" 0.409345804028251
1046 0.0335524965177094 5 10 "GO:0009130;GO:0009129" "pyrimidine nucleoside monophosphate metabolic process" 0.535843335475894
78 0.902005015563211 2 6 "GO:0009133" "nucleoside diphosphate biosynthetic process" 0.990355541657702
9 0.967001211600901 4 51 "GO:0009141" "nucleoside triphosphate metabolic process" 0.995848162381776
35 0.889743311522265 6 38 "GO:0009142" "nucleoside triphosphate biosynthetic process" 0.987914984373673
-159 0.772408848396917 3 8 "GO:0009143;GO:0009204" "deoxyribonucleoside triphosphate catabolic process" 0.975778147430469
597 0.125033255422671 2 16 "GO:0009148;GO:0009147" "pyrimidine nucleoside triphosphate metabolic process" 0.749224547190351
-348 0.00309515282501788 6 181 "GO:0009150;GO:0006163;GO:0009259;GO:0072521;GO:0019693" "purine-containing compound metabolic process" 0.234394006546722
-678 0.28566186612223 2 6 "GO:0009154;GO:0009261" "purine ribonucleotide catabolic process" 0.852047337946807
164 0.598541509438016 5 25 "GO:0009156;GO:0009124" "nucleoside monophosphate biosynthetic process" 0.939105769824586
52 0.846949263717785 6 33 "GO:0009161;GO:0009123" "nucleoside monophosphate metabolic process" 0.982676277590505
190 0.559015332449409 2 23 "GO:0009163;GO:1901659" "glycosyl compound biosynthetic process" 0.924779974044779
-209 0.529306810028969 3 22 "GO:0009164;GO:0034656" "nucleobase-containing small molecule catabolic process" 0.911895228828599
38 0.799983273690262 2 109 "GO:0009165;GO:1901293" "nucleoside phosphate biosynthetic process" 0.978007347253801
-255 0.354014810569415 5 32 "GO:0009166;GO:1901292" "nucleoside phosphate catabolic process" 0.872319563264252
-283 0.404873945707663 2 21 "GO:0009167;GO:0009126" "purine ribonucleoside monophosphate metabolic process" 0.878551247007151
-294 0.464487913562741 2 15 "GO:0009168;GO:0009127" "purine ribonucleoside monophosphate biosynthetic process" 0.889991966314376
162 0.754477049708761 2 9 "GO:0009187" "cyclic nucleotide metabolic process" 0.972191552623681
6 0.982894385443175 2 37 "GO:0009199;GO:0009205;GO:0009144" "purine nucleoside triphosphate metabolic process" 0.996485634016242
-14 0.971600790569307 2 15 "GO:0009200" "deoxyribonucleoside triphosphate metabolic process" 0.996310206332766
126 0.674523263033729 2 27 "GO:0009201;GO:0009206;GO:0009145" "ribonucleoside triphosphate biosynthetic process" 0.962025435846265
152 0.810470688788032 5 6 "GO:0009202;GO:0009186" "deoxyribonucleoside diphosphate metabolic process" 0.980760335505261
-344 0.485040107906817 7 10 "GO:0009215;GO:0009151" "purine deoxyribonucleotide metabolic process" 0.893770874679203
-33 0.948998113476793 2 9 "GO:0009219" "pyrimidine deoxyribonucleotide metabolic process" 0.995848162381776
604 0.109634127454375 2 17 "GO:0009220;GO:0009218" "pyrimidine ribonucleotide metabolic process" 0.736753032690584
-179 0.778245278626638 7 6 "GO:0009223;GO:0006244" "pyrimidine deoxyribonucleotide catabolic process" 0.975778147430469
-261 0.465736301715428 3 19 "GO:0009225" "nucleotide-sugar metabolic process" 0.889991966314376
-301 0.469105539432763 5 14 "GO:0009226" "nucleotide-sugar biosynthetic process" 0.889991966314376
-481 0.489450730639527 2 5 "GO:0009247" "glycolipid biosynthetic process" 0.893770874679203
-1014 0.00918968546553045 4 16 "GO:0009251;GO:0044247" "cellular polysaccharide catabolic process" 0.309486861496313
-186 0.278692509258646 6 83 "GO:0009260;GO:0046390;GO:0009152;GO:0006164;GO:0072522" "ribose phosphate biosynthetic process" 0.848798442853628
625 0.28737757299622 5 7 "GO:0009263" "deoxyribonucleotide biosynthetic process" 0.853078093317382
-535 0.214737545983963 2 13 "GO:0009264;GO:0046386" "deoxyribose phosphate catabolic process" 0.810938526090533
209 0.742221294440947 7 6 "GO:0009265;GO:0046385;GO:0009211" "2'-deoxyribonucleotide biosynthetic process" 0.972191552623681
-74 0.735486013459582 2 51 "GO:0009266;GO:0009408" "response to temperature stimulus" 0.972191552623681
-211 0.330724124090454 2 52 "GO:0009267;GO:0042594" "response to starvation" 0.870805286348269
278 0.536099178439951 3 12 "GO:0009268" "response to pH" 0.914220414340894
-71 0.781433917909079 4 37 "GO:0009306;GO:0002790;GO:0035592;GO:0071692" "peptide secretion" 0.975778147430469
-739 0.0385903647334558 2 19 "GO:0009311" "oligosaccharide metabolic process" 0.568458980046248
-708 0.131033648372596 5 11 "GO:0009313" "oligosaccharide catabolic process" 0.749224547190351
11 0.943051494956781 2 107 "GO:0009314" "response to radiation" 0.994860733397834
-162 0.618964974962595 2 23 "GO:0009394;GO:0009262;GO:0019692" "deoxyribonucleotide metabolic process" 0.943113706176472
69 0.894128928161728 2 9 "GO:0009395" "phospholipid catabolic process" 0.988167153905356
-571 0.298972543472084 3 8 "GO:0009404" "toxin metabolic process" 0.859612678467864
-604 0.341472630588176 2 6 "GO:0009409" "response to cold" 0.871018469660137
145 0.586669521911771 3 34 "GO:0009410" "response to xenobiotic stimulus" 0.934153937654182
-52 0.823407006776488 5 45 "GO:0009411" "response to UV" 0.981650410985964
131 0.477809825540935 4 72 "GO:0009416" "response to light stimulus" 0.893770874679203
-405 0.491191418834198 2 7 "GO:0009437" "carnitine metabolic process" 0.894284694237947
-1042 0.0761898329920233 2 7 "GO:0009438" "methylglyoxal metabolic process" 0.678936806458106
500 0.01248908979062 2 61 "GO:0009451" "RNA modification" 0.362971204185046
4 0.992656265272508 2 12 "GO:0009566" "fertilization" 0.998953064213476
3 0.99226718591779 2 28 "GO:0009581;GO:0009582" "detection of external stimulus" 0.998953064213476
-93 0.200745003169041 2 501 "GO:0009605" "response to external stimulus" 0.804445396885055
-220 0.283601517510564 2 58 "GO:0009611" "response to wounding" 0.850262359837112
382 0.0870153982606546 2 49 "GO:0009612" "response to mechanical stimulus" 0.698688465605048
-115 0.481704606990799 4 92 "GO:0009615;GO:0051607" "response to virus" 0.893770874679203
-234 0.137916790999665 4 99 "GO:0009617" "response to bacterium" 0.754527032390027
192 0.669367563657703 4 12 "GO:0009620" "response to fungus" 0.962025435846265
84 0.3706720156985 2 287 "GO:0009628" "response to abiotic stimulus" 0.87237376016788
37 0.823354725041924 3 89 "GO:0009636;GO:0046677" "response to toxic substance" 0.981650410985964
51 0.921005532874108 2 9 "GO:0009651" "response to salt stress" 0.99328594169326
-62 0.437128395934742 2 418 "GO:0009653" "anatomical structure morphogenesis" 0.889991966314376
37 0.705337747201622 2 261 "GO:0009719" "response to endogenous stimulus" 0.970140393685084
28 0.815727052940393 2 176 "GO:0009725" "response to hormone" 0.98163624889739
165 0.509475150970147 2 39 "GO:0009743" "response to carbohydrate" 0.903058701664667
-236 0.734415266332348 3 5 "GO:0009744;GO:0034285" "response to sucrose" 0.972191552623681
236 0.399387538103388 5 31 "GO:0009749;GO:0009746;GO:0034284" "response to monosaccharide" 0.876482078566761
40 0.898648824382585 4 25 "GO:0009755" "hormone-mediated signaling pathway" 0.988849814733615
459 0.141110193874517 2 25 "GO:0009791" "post-embryonic development" 0.754527032390027
-203 0.505640110178425 2 26 "GO:0009798" "axis specification" 0.899792330122406
-220 0.538370074825036 3 19 "GO:0009880" "embryonic pattern specification" 0.915648371711678
-109 0.665880833139533 2 38 "GO:0009886" "post-embryonic animal morphogenesis" 0.960716752709661
-19 0.879665944418142 2 156 "GO:0009887" "animal organ morphogenesis" 0.986460169057478
-118 0.382016761364932 2 136 "GO:0009888" "tissue development" 0.87237376016788
-430 0.407364953603389 4 9 "GO:0009948" "anterior/posterior axis specification" 0.879624725786167
-487 0.322248325920454 3 10 "GO:0009950" "dorsal/ventral axis specification" 0.864377948375686
-87 0.733241600176154 2 37 "GO:0009952" "anterior/posterior pattern specification" 0.972191552623681
-438 0.168341216344337 2 24 "GO:0009953" "dorsal/ventral pattern formation" 0.779151741645382
-826 0.13312272639272 2 8 "GO:0009954" "proximal/distal pattern formation" 0.749224547190351
-28 0.74677803074101 4 352 "GO:0009967;GO:0010647;GO:0023056" "positive regulation of signaling" 0.972191552623681
-6 0.941492266880404 2 414 "GO:0009968;GO:0048585;GO:0010648;GO:0023057" "negative regulation of response to stimulus" 0.994358887847017
-254 0.388709320492075 2 28 "GO:0010001" "glial cell differentiation" 0.87237376016788
-182 0.165646769565719 3 144 "GO:0010038;GO:0010035" "response to inorganic substance" 0.775553560004183
16 0.975769871285555 2 9 "GO:0010039" "response to iron ion" 0.996485634016242
-1284 0.0430710978469432 5 6 "GO:0010042;GO:0071287" "response to manganese ion" 0.598245689983459
131 0.780054248359018 5 11 "GO:0010043" "response to zinc ion" 0.975778147430469
-583 0.16081718919963 5 14 "GO:0010165" "response to X-ray" 0.772769614232157
530 0.36701992094435 2 7 "GO:0010171;GO:0010172" "body morphogenesis" 0.87237376016788
-229 0.366053452796669 2 38 "GO:0010212" "response to ionizing radiation" 0.87237376016788
23 0.970963491508733 2 6 "GO:0010226" "response to lithium ion" 0.996310206332766
-143 0.156139651467457 2 248 "GO:0010243;GO:1901698" "response to nitrogen compound" 0.766898234229866
-1132 0.0395860696339794 2 8 "GO:0010259" "multicellular organism aging" 0.575246219095574
-508 0.355772802549131 5 8 "GO:0010288" "response to lead ion" 0.87237376016788
415 0.513440462750331 2 6 "GO:0010310" "regulation of hydrogen peroxide metabolic process" 0.905114170946758
38 0.941651085670377 5 9 "GO:0010332" "response to gamma radiation" 0.994358887847017
594 0.0204666793728001 3 37 "GO:0010389;GO:1902749" "regulation of cell cycle G2/M phase transition" 0.442997341260714
-638 0.278001585000634 2 7 "GO:0010390" "histone monoubiquitination" 0.848798442853628
-675 0.287444478436452 2 6 "GO:0010453" "regulation of cell fate commitment" 0.853078093317382
27 0.968770233433722 3 5 "GO:0010457" "centriole-centriole cohesion" 0.995848162381776
693 0.181560219034497 2 9 "GO:0010458" "exit from mitosis" 0.800815080667849
-1187 0.0878060720281729 5 5 "GO:0010464" "regulation of mesenchymal cell proliferation" 0.698688465605048
-507 0.0848432785935829 2 28 "GO:0010469" "regulation of signaling receptor activity" 0.698688465605048
382 0.460931163000828 4 9 "GO:0010470" "regulation of gastrulation" 0.889991966314376
-1034 0.0165641266959474 5 13 "GO:0010499" "proteasomal ubiquitin-independent protein catabolic process" 0.409345804028251
1071 0.0685435833847417 2 7 "GO:0010501" "RNA secondary structure unwinding" 0.660064477609483
-256 0.186333605889933 6 65 "GO:0010506" "regulation of autophagy" 0.800815080667849
-433 0.173357382250781 3 24 "GO:0010507" "negative regulation of autophagy" 0.788026852430008
-66 0.845189722013694 4 21 "GO:0010508" "positive regulation of autophagy" 0.982676277590505
426 0.46820476377366 2 7 "GO:0010517" "regulation of phospholipase activity" 0.889991966314376
366 0.456359128846812 2 10 "GO:0010524;GO:0051281" "positive regulation of calcium ion transport into cytosol" 0.889991966314376
194 0.741788868689975 2 7 "GO:0010529;GO:0010528" "regulation of transposition" 0.972191552623681
556 0.344214309525107 3 7 "GO:0010543" "regulation of platelet activation" 0.871018469660137
316 0.541985183253847 3 9 "GO:0010559;GO:1903018" "regulation of glycoprotein biosynthetic process" 0.919217706384847
120 0.301851923270067 2 185 "GO:0010564" "regulation of cell cycle process" 0.859762413724234
-288 0.336900573981422 5 27 "GO:0010565" "regulation of cellular ketone metabolic process" 0.871018469660137
-155 0.730921484661498 2 12 "GO:0010569" "regulation of double-strand break repair via homologous recombination" 0.972191552623681
282 0.530112903289774 2 12 "GO:0010586" "miRNA metabolic process" 0.911999098151597
22 0.972011302791978 2 6 "GO:0010587" "miRNA catabolic process" 0.996310206332766
194 0.540970214199152 2 24 "GO:0010591;GO:1902743" "regulation of lamellipodium organization" 0.918994160614252
552 0.156002691843341 2 16 "GO:0010592;GO:1902745" "positive regulation of lamellipodium organization" 0.766898234229866
-543 0.0650763921285998 2 28 "GO:0010594" "regulation of endothelial cell migration" 0.646352523373236
-607 0.217041352364611 5 10 "GO:0010595" "positive regulation of endothelial cell migration" 0.810938526090533
-221 0.525100803204907 3 20 "GO:0010596;GO:0010633" "negative regulation of epithelial cell migration" 0.910739350074747
951 0.134087020865612 3 6 "GO:0010606;GO:0010603" "regulation of cytoplasmic mRNA processing body assembly" 0.749224547190351
478 0.169623519686788 2 20 "GO:0010611;GO:0014743;GO:0043502" "regulation of muscle adaptation" 0.779867752779018
400 0.467231735864268 4 8 "GO:0010613;GO:0014742" "positive regulation of cardiac muscle hypertrophy" 0.889991966314376
718 0.125766657493478 5 11 "GO:0010614;GO:0014741" "negative regulation of muscle hypertrophy" 0.749224547190351
53 0.455000544285352 2 534 "GO:0010628;GO:0010557;GO:0031328;GO:0009891;GO:0045935" "positive regulation of gene expression" 0.889991966314376
35 0.651419210857795 2 429 "GO:0010629" "negative regulation of gene expression" 0.958266472515844
378 0.164166403392846 3 33 "GO:0010631" "epithelial cell migration" 0.773543944752728
87 0.673465962272295 4 57 "GO:0010632" "regulation of epithelial cell migration" 0.962025435846265
67 0.816217645938301 2 29 "GO:0010634" "positive regulation of epithelial cell migration" 0.98163624889739
-101 0.384233925928949 2 186 "GO:0010638" "positive regulation of organelle organization" 0.87237376016788
44 0.748485307307889 2 131 "GO:0010639" "negative regulation of organelle organization" 0.972191552623681
-599 0.18261701949706 6 12 "GO:0010642;GO:0010640" "regulation of platelet-derived growth factor receptor signaling pathway" 0.800815080667849
-692 0.108625171854571 8 13 "GO:0010656;GO:0010660" "regulation of muscle cell apoptotic process" 0.736753032690584
-663 0.045778187129024 6 22 "GO:0010669" "epithelial structure maintenance" 0.605090503294395
247 0.652750665033537 2 8 "GO:0010676;GO:0010907" "positive regulation of cellular carbohydrate metabolic process" 0.959557001526126
-547 0.188672577191159 2 14 "GO:0010677;GO:0045912" "negative regulation of carbohydrate metabolic process" 0.800815080667849
-658 0.30001012404391 2 6 "GO:0010712" "regulation of collagen metabolic process" 0.859762413724234
549 0.106103809675768 2 21 "GO:0010717" "regulation of epithelial to mesenchymal transition" 0.732956937931537
401 0.353417330225299 2 13 "GO:0010718" "positive regulation of epithelial to mesenchymal transition" 0.872319563264252
-31 0.932268228036886 3 18 "GO:0010737" "protein kinase A signaling" 0.994151563136106
-316 0.6185521543212 6 6 "GO:0010738" "regulation of protein kinase A signaling" 0.943113706176472
-636 0.316478808282505 6 6 "GO:0010752" "regulation of cGMP-mediated signaling" 0.861282998314988
1338 0.0351071150089827 5 6 "GO:0010761" "fibroblast migration" 0.544784301279538
-343 0.559533466749824 3 7 "GO:0010762" "regulation of fibroblast migration" 0.924779974044779
185 0.752664351788858 7 7 "GO:0010765;GO:1902307" "positive regulation of sodium ion transmembrane transport" 0.972191552623681
189 0.766581220938474 2 6 "GO:0010766" "negative regulation of sodium ion transport" 0.97515418720328
-107 0.513383330498756 2 91 "GO:0010769" "regulation of cell morphogenesis involved in differentiation" 0.905114170946758
85 0.716232825320378 3 45 "GO:0010770" "positive regulation of cell morphogenesis involved in differentiation" 0.972191552623681
-7 0.982618121726728 3 22 "GO:0010771" "negative regulation of cell morphogenesis involved in differentiation" 0.996485634016242
-143 0.772050132090603 2 10 "GO:0010801;GO:0010799" "regulation of peptidyl-threonine phosphorylation" 0.975778147430469
132 0.835009539965892 2 6 "GO:0010803" "regulation of tumor necrosis factor-mediated signaling pathway" 0.982676277590505
208 0.268933726033722 4 69 "GO:0010810" "regulation of cell-substrate adhesion" 0.847246289242956
46 0.863119663934518 2 34 "GO:0010811" "positive regulation of cell-substrate adhesion" 0.985500292252112
47 0.880964583711902 2 25 "GO:0010812" "negative regulation of cell-substrate adhesion" 0.986460169057478
297 0.669860343335945 2 5 "GO:0010815" "bradykinin catabolic process" 0.962025435846265
-133 0.372575599201266 3 111 "GO:0010817" "regulation of hormone levels" 0.87237376016788
261 0.634959662153614 7 8 "GO:0010820;GO:0010819;GO:0140131;GO:1901623" "regulation of lymphocyte chemotaxis" 0.952695216699338
-42 0.871412923879761 2 37 "GO:0010821" "regulation of mitochondrion organization" 0.985500292252112
198 0.559632608694152 3 21 "GO:0010822" "positive regulation of mitochondrion organization" 0.924779974044779
-590 0.20840011912638 2 11 "GO:0010823" "negative regulation of mitochondrion organization" 0.808897739144783
114 0.72485246480383 7 23 "GO:0010824;GO:0046605" "regulation of centrosome cycle" 0.972191552623681
433 0.494986292237624 2 6 "GO:0010825;GO:0046601" "positive regulation of centrosome duplication" 0.894741847740145
277 0.450949229613541 2 18 "GO:0010827" "regulation of glucose transmembrane transport" 0.889991966314376
-83 0.860037451882794 2 11 "GO:0010828" "positive regulation of glucose transmembrane transport" 0.985101548950536
333 0.458875018934529 3 12 "GO:0010830" "regulation of myotube differentiation" 0.889991966314376
943 0.1373252452215 3 6 "GO:0010835" "regulation of protein ADP-ribosylation" 0.754527032390027
-357 0.390666905313774 6 14 "GO:0010837" "regulation of keratinocyte proliferation" 0.87237376016788
-230 0.741038791698271 4 5 "GO:0010838" "positive regulation of keratinocyte proliferation" 0.972191552623681
-427 0.410165313526425 4 9 "GO:0010839" "negative regulation of keratinocyte proliferation" 0.882717345854734
-564 0.147065044195142 3 16 "GO:0010842" "retina layer formation" 0.756669589431464
76 0.883444363893359 3 9 "GO:0010875;GO:0010874" "regulation of cholesterol efflux" 0.987463083308389
555 0.312843823955936 3 8 "GO:0010881;GO:0010880;GO:0010882" "regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum" 0.861282998314988
-678 0.148626108602841 3 11 "GO:0010883" "regulation of lipid storage" 0.75769980543992
-1301 0.0613609347911305 2 5 "GO:0010884" "positive regulation of lipid storage" 0.645432445484496
